id,first_name,last_name,age,city_id
1001,Ana,Aparecida,None,4
1002,Bruna,Ribeiro,None,165
1003,Emilly,Duarte,None,6
1004,Marcelo,Abreu,None,467
1005,Juan,Cardoso,None,280
1006,Yuri,Pereira,None,356
1007,Nathan,Nascimento,None,11
1008,Antônio,Cavalcanti,None,444
1009,Rafael,Barbosa,None,491
1010,Isabelly,Fogaça,None,188
1011,Lívia,Pereira,None,250
1012,Amanda,Gomes,None,384
1013,Sofia,Andrade,None,1
1014,Matteo,Carvalho,None,200
1015,Laura,Souza,None,104
1016,Ana Sophia,Moura,None,339
1017,Vitória,Barros,None,108
1018,Maria Eduarda,Cardoso,None,258
1019,Maitê,Rodrigues,None,203
1020,Anthony Gabriel,da Costa,None,52
1021,Ísis,Mendonça,None,377
1022,Dante,Leão,None,435
1023,Matteo,Peixoto,None,410
1024,Ana Cecília,Rodrigues,None,395
1025,Lara,Santos,None,460
1026,Felipe,Ramos,None,376
1027,Marcela,Moreira,None,484
1028,João Pedro,Lima,None,173
1029,Manuella,Moura,None,421
1030,João Lucas,Rios,None,108
1031,Beatriz,Albuquerque,None,460
1032,Ravi Lucca,Borges,None,504
1033,Noah,Fernandes,None,220
1034,João Vitor,Moura,None,171
1035,Matheus,Marques,None,460
1036,Alícia,Cassiano,None,158
1037,João Guilherme,Novais,None,227
1038,Davi Luiz,Carvalho,None,180
1039,Raquel,da Rocha,None,116
1040,Luna,Costela,None,205
1041,Leonardo,Rezende,None,367
1042,Helena,Marques,None,351
1043,Aurora,Andrade,None,184
1044,Davi Lucca,Monteiro,None,271
1045,Emilly,Cassiano,None,434
1046,Felipe,Campos,None,59
1047,Valentim,Cassiano,None,46
1048,Heloisa,Mendes,None,111
1049,Gael Henrique,Camargo,None,409
1050,Luna,Moura,None,109
1051,Emanuelly,Monteiro,None,509
1052,Rebeca,Rocha,None,286
1053,Raquel,Casa Grande,None,182
1054,Joaquim,Ramos,None,459
1055,Pietra,Novaes,None,29
1056,Joaquim,Sá,None,408
1057,Maria Sophia,Araújo,None,304
1058,Ian,Aragão,None,134
1059,Cauã,Novaes,None,122
1060,Murilo,Dias,None,190
1061,Pedro Henrique,Castro,None,75
1062,Lucca,Rezende,None,145
1063,Camila,Caldeira,None,151
1064,Antonella,Souza,None,326
1065,Léo,Borges,None,406
1066,Marcela,Nogueira,None,244
1067,Antony,Vargas,None,333
1068,Carolina,Mendes,None,143
1069,Luigi,Rodrigues,None,265
1070,Mariane,Ramos,None,187
1071,Dante,Cavalcante,None,171
1072,Alícia,Vieira,None,315
1073,Pedro Henrique,Pires,None,225
1074,Raquel,Cirino,None,395
1075,Sarah,Moura,None,509
1076,Emanuella,Araújo,None,475
1077,Emanuel,Cavalcante,None,277
1078,Vinícius,Novais,None,166
1079,Luiza,Viana,None,197
1080,Emilly,Almeida,None,461
1081,Maria Flor,da Costa,None,277
1082,Lucas,Ramos,None,301
1083,Davi,Campos,None,396
1084,Igor,Peixoto,None,381
1085,Maria Luiza,Pastor,None,217
1086,Pedro Miguel,Lima,None,107
1087,Davi Miguel,Moraes,None,180
1088,Manuella,Nascimento,None,280
1089,Davi Lucas,Alves,None,78
1090,Sara,Câmara,None,342
1091,Thales,Freitas,None,87
1092,Eloah,Guerra,None,501
1093,Thales,Sá,None,233
1094,Maria Flor,Cardoso,None,16
1095,Anthony,Gonçalves,None,291
1096,Lara,Sampaio,None,354
1097,Jade,Araújo,None,47
1098,Gael,da Costa,None,399
1099,Ana Luiza,Marques,None,377
1100,Ryan,Pinto,None,292
1101,Stephany,da Cunha,None,449
1102,Luna,Jesus,None,418
1103,Natália,Sampaio,None,221
1104,Matheus,Ramos,None,238
1105,Manuela,Nascimento,None,58
1106,Olivia,da Costa,None,4
1107,Cecilia,Barros,None,151
1108,Maria Luiza,Correia,None,74
1109,Ana Lívia,Santos,None,380
1110,Luísa,Freitas,None,106
1111,Brenda,Brito,None,55
1112,Agatha,Freitas,None,12
1113,Lucas Gabriel,da Rocha,None,426
1114,Bárbara,Gomes,None,51
1115,Eloah,das Neves,None,330
1116,Luiz Miguel,Camargo,None,268
1117,Matheus,Costela,None,268
1118,Josué,Camargo,None,39
1119,Isis,Nunes,None,311
1120,Olívia,Machado,None,488
1121,Isabel,Moreira,None,215
1122,Milena,Melo,None,492
1123,Luana,Machado,None,289
1124,Giovanna,Sá,None,354
1125,Caleb,da Conceição,None,371
1126,Ana Laura,Andrade,None,86
1127,Murilo,Sampaio,None,509
1128,Caroline,Câmara,None,485
1129,Alícia,Rocha,None,482
1130,Davi Luiz,Pastor,None,240
1131,Ayla,Fernandes,None,49
1132,Fernando,Monteiro,None,263
1133,Ravi,Dias,None,120
1134,Maria Luísa,Ferreira,None,322
1135,Arthur Miguel,Santos,None,78
1136,Mariana,Nunes,None,317
1137,Fernanda,Garcia,None,125
1138,Isaac,Silva,None,146
1139,João,Pires,None,253
1140,Isabela,Gomes,None,317
1141,Samuel,Silva,None,214
1142,Ryan,Vargas,None,88
1143,Pedro Lucas,Leão,None,368
1144,Isis,Rios,None,85
1145,Danilo,Camargo,None,51
1146,Amanda,Abreu,None,86
1147,Lucas,Peixoto,None,207
1148,Lucca,Alves,None,87
1149,Maysa,Azevedo,None,25
1150,João Pedro,Montenegro,None,160
1151,Noah,Sales,None,273
1152,Thomas,Dias,None,317
1153,Maria Luísa,Duarte,None,178
1154,Gustavo,Araújo,None,103
1155,Sabrina,Rezende,None,460
1156,Camila,Dias,None,241
1157,Sarah,das Neves,None,59
1158,Igor,Andrade,None,446
1159,Pedro Henrique,Lima,None,355
1160,Arthur,Jesus,None,322
1161,Lunna,Brito,None,208
1162,Ryan,Melo,None,279
1163,Dante,Sousa,None,492
1164,Vitor Hugo,Pacheco,None,156
1165,Stella,Pimenta,None,209
1166,Maria Luiza,Brito,None,186
1167,Milena,Cardoso,None,125
1168,Yasmin,Moura,None,188
1169,Helena,Moraes,None,155
1170,Oliver,Oliveira,None,128
1171,Bernardo,Araújo,None,211
1172,Joaquim,Gonçalves,None,424
1173,Isis,Abreu,None,98
1174,Mathias,Pereira,None,99
1175,João Gabriel,Sousa,None,408
1176,Erick,Jesus,None,38
